Retailer;Retailer ID;Invoice Date;Region;State;City;Product;Price per Unit;Units Sold;Total Sales;Operating Profit;Operating Margin;Sales Method
Foot Locker;1185732;10/07/21;Southeast;South Carolina;Charleston;Men's Apparel;$55.00 ;650;$357,500 ;$125,125 ;35%;Online
Foot Locker;1185732;10/07/21;Southeast;South Carolina;Charleston;Women's Apparel;$60.00 ;775;$465,000 ;$232,500 ;50%;Online
Foot Locker;1185732;11/06/21;Southeast;South Carolina;Charleston;Men's Street Footwear;$55.00 ;925;$508,750 ;$228,938 ;45%;Online
Foot Locker;1185732;11/06/21;Southeast;South Carolina;Charleston;Men's Athletic Footwear;$45.00 ;750;$337,500 ;$118,125 ;35%;Online
Foot Locker;1185732;11/06/21;Southeast;South Carolina;Charleston;Women's Street Footwear;$45.00 ;695;$312,750 ;$78,188 ;25%;Online
Foot Locker;1185732;11/06/21;Southeast;South Carolina;Charleston;Women's Athletic Footwear;$55.00 ;750;$412,500 ;$123,750 ;30%;Online
Foot Locker;1185732;11/06/21;Southeast;South Carolina;Charleston;Men's Apparel;$70.00 ;725;$507,500 ;$177,625 ;35%;Online
Foot Locker;1185732;11/06/21;Southeast;South Carolina;Charleston;Women's Apparel;$75.00 ;825;$618,750 ;$309,375 ;50%;Online
Foot Locker;1185732;12/05/21;Southeast;South Carolina;Charleston;Men's Street Footwear;$70.00 ;1,075;$752,500 ;$338,625 ;45%;Online
Foot Locker;1185732;12/05/21;Southeast;South Carolina;Charleston;Men's Athletic Footwear;$60.00 ;875;$525,000 ;$183,750 ;35%;Online
Sports Direct;1185732;12/05/21;Southeast;South Carolina;Charleston;Women's Street Footwear;$60.00 ;825;$495,000 ;$123,750 ;25%;Online
Sports Direct;1185732;12/05/21;Southeast;South Carolina;Charleston;Women's Athletic Footwear;$60.00 ;775;$465,000 ;$139,500 ;30%;Online
Sports Direct;1185732;12/05/21;Southeast;South Carolina;Charleston;Men's Apparel;$70.00 ;775;$542,500 ;$189,875 ;35%;Online
Sports Direct;1185732;12/05/21;Southeast;South Carolina;Charleston;Women's Apparel;$75.00 ;875;$656,250 ;$328,125 ;50%;Online
Sports Direct;1185732;01/06/21;Southeast;South Carolina;Charleston;Men's Street Footwear;$35.00 ;925;$323,750 ;$129,500 ;40%;Online
Sports Direct;1185732;01/06/21;Southeast;South Carolina;Charleston;Men's Athletic Footwear;$35.00 ;725;$253,750 ;$88,813 ;35%;Online
Sports Direct;1185732;01/06/21;Southeast;South Carolina;Charleston;Women's Street Footwear;$25.00 ;725;$181,250 ;$72,500 ;40%;Online
Sports Direct;1185732;01/06/21;Southeast;South Carolina;Charleston;Women's Athletic Footwear;$30.00 ;575;$172,500 ;$69,000 ;40%;Online
Sports Direct;1185732;01/06/21;Southeast;South Carolina;Charleston;Men's Apparel;$45.00 ;625;$281,250 ;$98,438 ;35%;Online
Sports Direct;1185732;01/06/21;Southeast;South Carolina;Charleston;Women's Apparel;$35.00 ;725;$253,750 ;$126,875 ;50%;Online
Sports Direct;1185732;02/04/21;Southeast;South Carolina;Charleston;Men's Street Footwear;$35.00 ;975;$341,250 ;$136,500 ;40%;Online
Sports Direct;1185732;02/04/21;Southeast;South Carolina;Charleston;Men's Athletic Footwear;$35.00 ;625;$218,750 ;$76,563 ;35%;Online
Sports Direct;1185732;02/04/21;Southeast;South Carolina;Charleston;Women's Street Footwear;$25.00 ;675;$168,750 ;$67,500 ;40%;Online
Sports Direct;1185732;02/04/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$30.00 ;525;$157,500 ;$63,000 ;40%;Online
Sports Direct;1185732;02/04/21;Southeast;North Carolina;Charlotte;Men's Apparel;$45.00 ;600;$270,000 ;$94,500 ;35%;Online
Sports Direct;1185732;02/04/21;Southeast;North Carolina;Charlotte;Women's Apparel;$30.00 ;700;$210,000 ;$105,000 ;50%;Online
Sports Direct;1185732;03/02/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$30.00 ;920;$276,000 ;$110,400 ;40%;Online
Sports Direct;1185732;03/02/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$30.00 ;600;$180,000 ;$63,000 ;35%;Online
Sports Direct;1185732;03/02/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$20.00 ;625;$125,000 ;$50,000 ;40%;Online
Sports Direct;1185732;03/02/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$25.00 ;475;$118,750 ;$47,500 ;40%;Online
Sports Direct;1185732;03/02/21;Southeast;North Carolina;Charlotte;Men's Apparel;$40.00 ;525;$210,000 ;$73,500 ;35%;Online
Sports Direct;1185732;03/02/21;Southeast;North Carolina;Charlotte;Women's Apparel;$30.00 ;625;$187,500 ;$93,750 ;50%;Online
Sports Direct;1185732;04/03/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$30.00 ;875;$262,500 ;$105,000 ;40%;Online
Sports Direct;1185732;04/03/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$30.00 ;575;$172,500 ;$60,375 ;35%;Online
Sports Direct;1185732;04/03/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$20.00 ;575;$115,000 ;$46,000 ;40%;Online
Sports Direct;1185732;04/03/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$25.00 ;500;$125,000 ;$50,000 ;40%;Online
Sports Direct;1185732;04/03/21;Southeast;North Carolina;Charlotte;Men's Apparel;$45.00 ;525;$236,250 ;$82,688 ;35%;Online
Sports Direct;1185732;04/03/21;Southeast;North Carolina;Charlotte;Women's Apparel;$35.00 ;675;$236,250 ;$118,125 ;50%;Online
Sports Direct;1185732;05/02/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$45.00 ;945;$425,250 ;$170,100 ;40%;Online
Sports Direct;1185732;05/02/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$45.00 ;650;$292,500 ;$102,375 ;35%;Online
Sports Direct;1185732;05/02/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$40.00 ;625;$250,000 ;$100,000 ;40%;Online
Sports Direct;1185732;05/02/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$40.00 ;575;$230,000 ;$92,000 ;40%;Online
Sports Direct;1185732;05/02/21;Southeast;North Carolina;Charlotte;Men's Apparel;$50.00 ;600;$300,000 ;$105,000 ;35%;Online
Sports Direct;1185732;05/02/21;Southeast;North Carolina;Charlotte;Women's Apparel;$55.00 ;700;$385,000 ;$192,500 ;50%;Online
Sports Direct;1185732;06/04/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$50.00 ;950;$475,000 ;$190,000 ;40%;Online
Sports Direct;1185732;06/04/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$45.00 ;700;$315,000 ;$110,250 ;35%;Online
Sports Direct;1185732;06/04/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$50.00 ;675;$337,500 ;$135,000 ;40%;Online
Sports Direct;1185732;06/04/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$50.00 ;650;$325,000 ;$130,000 ;40%;Online
Sports Direct;1185732;06/04/21;Southeast;North Carolina;Charlotte;Men's Apparel;$65.00 ;650;$422,500 ;$147,875 ;35%;Online
Sports Direct;1185732;06/04/21;Southeast;North Carolina;Charlotte;Women's Apparel;$70.00 ;825;$577,500 ;$288,750 ;50%;Online
Sports Direct;1185732;07/02/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$65.00 ;1,050;$682,500 ;$273,000 ;40%;Online
Sports Direct;1185732;07/02/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$60.00 ;800;$480,000 ;$168,000 ;35%;Online
Sports Direct;1185732;07/02/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$55.00 ;725;$398,750 ;$159,500 ;40%;Online
Sports Direct;1185732;07/02/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$55.00 ;675;$371,250 ;$148,500 ;40%;Online
Sports Direct;1185732;07/02/21;Southeast;North Carolina;Charlotte;Men's Apparel;$65.00 ;700;$455,000 ;$159,250 ;35%;Online
Sports Direct;1185732;07/02/21;Southeast;North Carolina;Charlotte;Women's Apparel;$70.00 ;875;$612,500 ;$306,250 ;50%;Online
Sports Direct;1185732;08/03/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$65.00 ;1,025;$666,250 ;$266,500 ;40%;Online
Sports Direct;1185732;08/03/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$60.00 ;800;$480,000 ;$168,000 ;35%;Online
Sports Direct;1185732;08/03/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$55.00 ;725;$398,750 ;$159,500 ;40%;Online
Sports Direct;1185732;08/03/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$45.00 ;675;$303,750 ;$121,500 ;40%;Online
Sports Direct;1185732;08/03/21;Southeast;North Carolina;Charlotte;Men's Apparel;$55.00 ;650;$357,500 ;$125,125 ;35%;Online
Sports Direct;1185732;08/03/21;Southeast;North Carolina;Charlotte;Women's Apparel;$60.00 ;825;$495,000 ;$247,500 ;50%;Online
Sports Direct;1185732;09/02/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$55.00 ;925;$508,750 ;$203,500 ;40%;Online
Sports Direct;1185732;09/02/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$50.00 ;725;$362,500 ;$126,875 ;35%;Online
Sports Direct;1185732;09/02/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$30.00 ;625;$187,500 ;$75,000 ;40%;Online
Sports Direct;1185732;09/02/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$30.00 ;600;$180,000 ;$72,000 ;40%;Online
Sports Direct;1185732;09/02/21;Southeast;North Carolina;Charlotte;Men's Apparel;$40.00 ;600;$240,000 ;$84,000 ;35%;Online
Sports Direct;1185732;09/02/21;Southeast;North Carolina;Charlotte;Women's Apparel;$45.00 ;700;$315,000 ;$157,500 ;50%;Online
Sports Direct;1185732;10/04/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$45.00 ;875;$393,750 ;$157,500 ;40%;Online
Sports Direct;1185732;10/04/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$35.00 ;700;$245,000 ;$85,750 ;35%;Online
Sports Direct;1185732;10/04/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$35.00 ;575;$201,250 ;$80,500 ;40%;Online
Sports Direct;1185732;10/04/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$35.00 ;550;$192,500 ;$77,000 ;40%;Online
Sports Direct;1185732;10/04/21;Southeast;North Carolina;Charlotte;Men's Apparel;$45.00 ;550;$247,500 ;$86,625 ;35%;Online
Sports Direct;1185732;10/04/21;Southeast;North Carolina;Charlotte;Women's Apparel;$50.00 ;675;$337,500 ;$168,750 ;50%;Online
Sports Direct;1185732;11/03/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$45.00 ;825;$371,250 ;$148,500 ;40%;Online
Sports Direct;1185732;11/03/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$35.00 ;650;$227,500 ;$79,625 ;35%;Online
Sports Direct;1185732;11/03/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$40.00 ;595;$238,000 ;$95,200 ;40%;Online
Sports Direct;1185732;11/03/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$60.00 ;650;$390,000 ;$156,000 ;40%;Online
Sports Direct;1185732;11/03/21;Southeast;North Carolina;Charlotte;Men's Apparel;$75.00 ;625;$468,750 ;$164,063 ;35%;Online
Sports Direct;1185732;11/03/21;Southeast;North Carolina;Charlotte;Women's Apparel;$75.00 ;725;$543,750 ;$271,875 ;50%;Online
Sports Direct;1185732;12/02/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$70.00 ;975;$682,500 ;$273,000 ;40%;Online
Sports Direct;1185732;12/02/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$60.00 ;775;$465,000 ;$162,750 ;35%;Online
Amazon;1185732;12/02/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$60.00 ;725;$435,000 ;$174,000 ;40%;Online
Amazon;1185732;12/02/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$60.00 ;675;$405,000 ;$162,000 ;40%;Online
Amazon;1185732;12/02/21;Southeast;North Carolina;Charlotte;Men's Apparel;$70.00 ;675;$472,500 ;$165,375 ;35%;Online
Amazon;1185732;12/02/21;Southeast;North Carolina;Charlotte;Women's Apparel;$75.00 ;775;$581,250 ;$290,625 ;50%;Online
Amazon;1185732;01/13/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$35.00 ;775;$271,250 ;$108,500 ;40%;Online
Amazon;1185732;01/13/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$35.00 ;575;$201,250 ;$70,438 ;35%;Online
Amazon;1185732;01/13/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$25.00 ;575;$143,750 ;$57,500 ;40%;Online
Amazon;1185732;01/13/21;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;$30.00 ;425;$127,500 ;$51,000 ;40%;Online
Amazon;1185732;01/13/21;Southeast;North Carolina;Charlotte;Men's Apparel;$45.00 ;475;$213,750 ;$74,813 ;35%;Online
Amazon;1185732;01/13/21;Southeast;North Carolina;Charlotte;Women's Apparel;$35.00 ;575;$201,250 ;$100,625 ;50%;Online
Amazon;1185732;02/11/21;Southeast;North Carolina;Charlotte;Men's Street Footwear;$35.00 ;825;$288,750 ;$115,500 ;40%;Online
Amazon;1185732;02/11/21;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;$35.00 ;475;$166,250 ;$58,188 ;35%;Online
Amazon;1185732;02/11/21;Southeast;North Carolina;Charlotte;Women's Street Footwear;$25.00 ;525;$131,250 ;$52,500 ;40%;Online
Amazon;1185732;02/11/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$30.00 ;375;$112,500 ;$45,000 ;40%;Online
Amazon;1185732;02/11/21;Midwest;Ohio;Columbus;Men's Apparel;$45.00 ;450;$202,500 ;$70,875 ;35%;Online
Amazon;1185732;02/11/21;Midwest;Ohio;Columbus;Women's Apparel;$30.00 ;550;$165,000 ;$82,500 ;50%;Online
Amazon;1185732;03/09/21;Midwest;Ohio;Columbus;Men's Street Footwear;$30.00 ;770;$231,000 ;$92,400 ;40%;Online
Amazon;1185732;03/09/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$30.00 ;450;$135,000 ;$47,250 ;35%;Online
Amazon;1185732;03/09/21;Midwest;Ohio;Columbus;Women's Street Footwear;$20.00 ;475;$95,000 ;$38,000 ;40%;Online
Amazon;1185732;03/09/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$25.00 ;325;$81,250 ;$32,500 ;40%;Online
Amazon;1185732;03/09/21;Midwest;Ohio;Columbus;Men's Apparel;$40.00 ;375;$150,000 ;$52,500 ;35%;Online
Amazon;1185732;03/09/21;Midwest;Ohio;Columbus;Women's Apparel;$30.00 ;475;$142,500 ;$71,250 ;50%;Online
Amazon;1185732;04/10/21;Midwest;Ohio;Columbus;Men's Street Footwear;$30.00 ;725;$217,500 ;$87,000 ;40%;Online
Amazon;1185732;04/10/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$30.00 ;425;$127,500 ;$44,625 ;35%;Online
Amazon;1185732;04/10/21;Midwest;Ohio;Columbus;Women's Street Footwear;$20.00 ;425;$85,000 ;$34,000 ;40%;Online
Amazon;1185732;04/10/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$25.00 ;350;$87,500 ;$35,000 ;40%;Online
Amazon;1185732;04/10/21;Midwest;Ohio;Columbus;Men's Apparel;$45.00 ;375;$168,750 ;$59,063 ;35%;Online
Amazon;1185732;04/10/21;Midwest;Ohio;Columbus;Women's Apparel;$35.00 ;525;$183,750 ;$91,875 ;50%;Online
Amazon;1185732;05/09/21;Midwest;Ohio;Columbus;Men's Street Footwear;$45.00 ;795;$357,750 ;$143,100 ;40%;Online
Amazon;1185732;05/09/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$45.00 ;500;$225,000 ;$78,750 ;35%;Online
Amazon;1185732;05/09/21;Midwest;Ohio;Columbus;Women's Street Footwear;$40.00 ;475;$190,000 ;$76,000 ;40%;Online
Amazon;1185732;05/09/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$40.00 ;425;$170,000 ;$68,000 ;40%;Online
Amazon;1185732;05/09/21;Midwest;Ohio;Columbus;Men's Apparel;$50.00 ;450;$225,000 ;$78,750 ;35%;Online
Amazon;1185732;05/09/21;Midwest;Ohio;Columbus;Women's Apparel;$55.00 ;550;$302,500 ;$151,250 ;50%;Online
Amazon;1185732;06/11/21;Midwest;Ohio;Columbus;Men's Street Footwear;$50.00 ;800;$400,000 ;$160,000 ;40%;Online
Amazon;1185732;06/11/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$45.00 ;550;$247,500 ;$86,625 ;35%;Online
Amazon;1185732;06/11/21;Midwest;Ohio;Columbus;Women's Street Footwear;$50.00 ;525;$262,500 ;$105,000 ;40%;Online
Amazon;1185732;06/11/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$50.00 ;500;$250,000 ;$100,000 ;40%;Online
Amazon;1185732;06/11/21;Midwest;Ohio;Columbus;Men's Apparel;$65.00 ;500;$325,000 ;$113,750 ;35%;Online
Amazon;1185732;06/11/21;Midwest;Ohio;Columbus;Women's Apparel;$70.00 ;675;$472,500 ;$236,250 ;50%;Online
Amazon;1185732;07/09/21;Midwest;Ohio;Columbus;Men's Street Footwear;$65.00 ;900;$585,000 ;$234,000 ;40%;Online
Amazon;1185732;07/09/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$60.00 ;650;$390,000 ;$136,500 ;35%;Online
Amazon;1185732;07/09/21;Midwest;Ohio;Columbus;Women's Street Footwear;$55.00 ;575;$316,250 ;$126,500 ;40%;Online
Amazon;1185732;07/09/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$55.00 ;525;$288,750 ;$115,500 ;40%;Online
Amazon;1185732;07/09/21;Midwest;Ohio;Columbus;Men's Apparel;$65.00 ;550;$357,500 ;$125,125 ;35%;Online
Amazon;1185732;07/09/21;Midwest;Ohio;Columbus;Women's Apparel;$70.00 ;725;$507,500 ;$253,750 ;50%;Online
Amazon;1185732;08/10/21;Midwest;Ohio;Columbus;Men's Street Footwear;$65.00 ;875;$568,750 ;$227,500 ;40%;Online
Amazon;1185732;08/10/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$60.00 ;650;$390,000 ;$136,500 ;35%;Online
Amazon;1185732;08/10/21;Midwest;Ohio;Columbus;Women's Street Footwear;$55.00 ;575;$316,250 ;$126,500 ;40%;Online
Amazon;1185732;08/10/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$45.00 ;525;$236,250 ;$94,500 ;40%;Online
Amazon;1185732;08/10/21;Midwest;Ohio;Columbus;Men's Apparel;$55.00 ;500;$275,000 ;$96,250 ;35%;Online
Amazon;1185732;08/10/21;Midwest;Ohio;Columbus;Women's Apparel;$60.00 ;675;$405,000 ;$202,500 ;50%;Online
Amazon;1185732;09/09/21;Midwest;Ohio;Columbus;Men's Street Footwear;$55.00 ;775;$426,250 ;$170,500 ;40%;Online
Amazon;1185732;09/09/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$50.00 ;575;$287,500 ;$100,625 ;35%;Online
Amazon;1185732;09/09/21;Midwest;Ohio;Columbus;Women's Street Footwear;$25.00 ;475;$118,750 ;$47,500 ;40%;Online
Amazon;1185732;09/09/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$25.00 ;450;$112,500 ;$45,000 ;40%;Online
Amazon;1185732;09/09/21;Midwest;Ohio;Columbus;Men's Apparel;$35.00 ;450;$157,500 ;$55,125 ;35%;Online
Amazon;1185732;09/09/21;Midwest;Ohio;Columbus;Women's Apparel;$40.00 ;550;$220,000 ;$110,000 ;50%;Online
Amazon;1185732;10/11/21;Midwest;Ohio;Columbus;Men's Street Footwear;$40.00 ;725;$290,000 ;$116,000 ;40%;Online
Amazon;1185732;10/11/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$30.00 ;550;$165,000 ;$57,750 ;35%;Online
Amazon;1185732;10/11/21;Midwest;Ohio;Columbus;Women's Street Footwear;$30.00 ;425;$127,500 ;$51,000 ;40%;Online
Amazon;1185732;10/11/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$30.00 ;400;$120,000 ;$48,000 ;40%;Online
Amazon;1185732;10/11/21;Midwest;Ohio;Columbus;Men's Apparel;$40.00 ;400;$160,000 ;$56,000 ;35%;Online
Amazon;1185732;10/11/21;Midwest;Ohio;Columbus;Women's Apparel;$40.00 ;525;$210,000 ;$105,000 ;50%;Online
Amazon;1185732;11/10/21;Midwest;Ohio;Columbus;Men's Street Footwear;$35.00 ;675;$236,250 ;$94,500 ;40%;Online
Amazon;1185732;11/10/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$25.00 ;500;$125,000 ;$43,750 ;35%;Online
Amazon;1185732;11/10/21;Midwest;Ohio;Columbus;Women's Street Footwear;$35.00 ;445;$155,750 ;$62,300 ;40%;Online
Amazon;1185732;11/10/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$65.00 ;500;$325,000 ;$130,000 ;40%;Online
Amazon;1185732;11/10/21;Midwest;Ohio;Columbus;Men's Apparel;$80.00 ;475;$380,000 ;$133,000 ;35%;Online
Amazon;1185732;11/10/21;Midwest;Ohio;Columbus;Women's Apparel;$80.00 ;575;$460,000 ;$230,000 ;50%;Online
Amazon;1185732;12/09/21;Midwest;Ohio;Columbus;Men's Street Footwear;$75.00 ;825;$618,750 ;$247,500 ;40%;Online
Amazon;1185732;12/09/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$65.00 ;625;$406,250 ;$142,188 ;35%;Online
West Gear;1185732;12/09/21;Midwest;Ohio;Columbus;Women's Street Footwear;$65.00 ;575;$373,750 ;$149,500 ;40%;Online
West Gear;1185732;12/09/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$65.00 ;525;$341,250 ;$136,500 ;40%;Online
West Gear;1185732;12/09/21;Midwest;Ohio;Columbus;Men's Apparel;$75.00 ;525;$393,750 ;$137,813 ;35%;Online
West Gear;1185732;12/09/21;Midwest;Ohio;Columbus;Women's Apparel;$80.00 ;625;$500,000 ;$250,000 ;50%;Online
Amazon;1185732;01/22/21;Midwest;Ohio;Columbus;Men's Street Footwear;$40.00 ;500;$200,000 ;$80,000 ;40%;Online
Amazon;1185732;01/22/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$40.00 ;300;$120,000 ;$42,000 ;35%;Online
Amazon;1185732;01/22/21;Midwest;Ohio;Columbus;Women's Street Footwear;$30.00 ;300;$90,000 ;$36,000 ;40%;Online
Amazon;1185732;01/22/21;Midwest;Ohio;Columbus;Women's Athletic Footwear;$35.00 ;150;$52,500 ;$21,000 ;40%;Online
Amazon;1185732;01/22/21;Midwest;Ohio;Columbus;Men's Apparel;$50.00 ;200;$100,000 ;$35,000 ;35%;Online
Amazon;1185732;01/22/21;Midwest;Ohio;Columbus;Women's Apparel;$40.00 ;300;$120,000 ;$48,000 ;40%;Online
Amazon;1185732;02/22/21;Midwest;Ohio;Columbus;Men's Street Footwear;$40.00 ;550;$220,000 ;$88,000 ;40%;Online
Amazon;1185732;02/22/21;Midwest;Ohio;Columbus;Men's Athletic Footwear;$40.00 ;200;$80,000 ;$28,000 ;35%;Online
Amazon;1185732;02/22/21;Midwest;Ohio;Columbus;Women's Street Footwear;$30.00 ;250;$75,000 ;$30,000 ;40%;Online
Amazon;1185732;02/22/21;Southeast;Kentucky;Louisville;Women's Athletic Footwear;$35.00 ;125;$43,750 ;$17,500 ;40%;Online
Amazon;1185732;02/22/21;Southeast;Kentucky;Louisville;Men's Apparel;$50.00 ;200;$100,000 ;$35,000 ;35%;Online
Amazon;1185732;02/22/21;Southeast;Kentucky;Louisville;Women's Apparel;$40.00 ;300;$120,000 ;$48,000 ;40%;Online
Amazon;1185732;03/21/21;Southeast;Kentucky;Louisville;Men's Street Footwear;$45.00 ;520;$234,000 ;$93,600 ;40%;Online
Amazon;1185732;03/21/21;Southeast;Kentucky;Louisville;Men's Athletic Footwear;$45.00 ;225;$101,250 ;$35,438 ;35%;Online
Amazon;1185732;03/21/21;Southeast;Kentucky;Louisville;Women's Street Footwear;$35.00 ;250;$87,500 ;$35,000 ;40%;Online
Amazon;1185732;03/21/21;Southeast;Kentucky;Louisville;Women's Athletic Footwear;$40.00 ;100;$40,000 ;$16,000 ;40%;Online
Amazon;1185732;03/21/21;Southeast;Kentucky;Louisville;Men's Apparel;$55.00 ;150;$82,500 ;$28,875 ;35%;Online
Amazon;1185732;03/21/21;Southeast;Kentucky;Louisville;Women's Apparel;$45.00 ;250;$112,500 ;$45,000 ;40%;Online
Amazon;1185732;04/22/21;Southeast;Kentucky;Louisville;Men's Street Footwear;$45.00 ;475;$213,750 ;$85,500 ;40%;Online
Amazon;1185732;04/22/21;Southeast;Kentucky;Louisville;Men's Athletic Footwear;$45.00 ;175;$78,750 ;$27,563 ;35%;Online
Amazon;1185732;04/22/21;Southeast;Kentucky;Louisville;Women's Street Footwear;$40.00 ;175;$70,000 ;$28,000 ;40%;Online
Amazon;1185732;04/22/21;Southeast;Kentucky;Louisville;Women's Athletic Footwear;$45.00 ;100;$45,000 ;$18,000 ;40%;Online
Amazon;1185732;04/22/21;Southeast;Kentucky;Louisville;Men's Apparel;$50.00 ;125;$62,500 ;$21,875 ;35%;Online
Amazon;1185732;04/22/21;Southeast;Kentucky;Louisville;Women's Apparel;$40.00 ;250;$100,000 ;$40,000 ;40%;Online
Amazon;1185732;05/23/21;Southeast;Kentucky;Louisville;Men's Street Footwear;$50.00 ;520;$260,000 ;$104,000 ;40%;Online
Amazon;1185732;05/23/21;Southeast;Kentucky;Louisville;Men's Athletic Footwear;$45.00 ;225;$101,250 ;$35,438 ;35%;Online
Amazon;1185732;05/23/21;Southeast;Kentucky;Louisville;Women's Street Footwear;$40.00 ;200;$80,000 ;$32,000 ;40%;Online
Amazon;1185732;05/23/21;Southeast;Kentucky;Louisville;Women's Athletic Footwear;$40.00 ;125;$50,000 ;$20,000 ;40%;Online
Amazon;1185732;05/23/21;Southeast;Kentucky;Louisville;Men's Apparel;$50.00 ;150;$75,000 ;$26,250 ;35%;Online
Amazon;1185732;05/23/21;Southeast;Kentucky;Louisville;Women's Apparel;$55.00 ;275;$151,250 ;$60,500 ;40%;Online
Amazon;1185732;06/22/21;Southeast;Kentucky;Louisville;Men's Street Footwear;$40.00 ;525;$210,000 ;$84,000 ;40%;Online
Amazon;1185732;06/22/21;Southeast;Kentucky;Louisville;Men's Athletic Footwear;$35.00 ;275;$96,250 ;$33,688 ;35%;Online
Amazon;1185732;06/22/21;Southeast;Kentucky;Louisville;Women's Street Footwear;$30.00 ;225;$67,500 ;$27,000 ;40%;Online
Amazon;1185732;06/22/21;Southeast;Kentucky;Louisville;Women's Athletic Footwear;$30.00 ;200;$60,000 ;$24,000 ;40%;Online
Amazon;1185732;06/22/21;Southeast;Kentucky;Louisville;Men's Apparel;$50.00 ;200;$100,000 ;$35,000 ;35%;Online
Amazon;1185732;06/22/21;Southeast;Kentucky;Louisville;Women's Apparel;$55.00 ;375;$206,250 ;$82,500 ;40%;Online
Amazon;1185732;07/21/21;Southeast;Kentucky;Louisville;Men's Street Footwear;$50.00 ;600;$300,000 ;$120,000 ;40%;Online
Amazon;1185732;07/21/21;Southeast;Kentucky;Louisville;Men's Athletic Footwear;$45.00 ;350;$157,500 ;$55,125 ;35%;Online
