Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
2018-05-18 09:00:00,54.3,92,52,4.16,5.95,336,340,7.7,0.2496
2018-05-18 10:00:00,54.1,89,51.1,4.13,5.69,328,329,7.7,0.2068
2018-05-18 11:00:00,52.4,88,49.1,5.13,6.83,327,328,9.4,0.1639
2018-05-18 12:00:00,51.6,87,47.8,4.96,6.63,326,326,9.6,0.1804
2018-05-18 13:00:00,51.5,84,46.8,5.58,7.38,324,324,10.7,0.2562
2018-05-18 14:00:00,52.3,80,46.3,5.64,7.42,335,334,10.9,0.3321
2018-05-18 15:00:00,51.9,79,45.6,6.02,7.85,339,338,11.4,0.4079
2018-05-18 16:00:00,50.2,80,44.3,6.07,8.07,343,343,11.5,0.4837
2018-05-18 17:00:00,48.9,81,43.4,5.87,7.93,346,346,11.4,0.5596
2018-05-18 18:00:00,46.4,81,40.8,6.92,9.72,356,356,11.3,0.5945
2018-05-18 19:00:00,46.3,80,40.5,6.92,9.77,349,349,12.3,0.5886
2018-05-18 20:00:00,44.9,84,40.3,7.2,10.41,350,352,12.6,0.5827
2018-05-18 21:00:00,44.7,85,40.4,6.3,9.31,2,3,12.5,0.5768
2018-05-18 22:00:00,44.2,86,40.5,6.83,10.05,5,6,12,0.5709
2018-05-18 23:00:00,44.4,84,39.9,6.41,9.43,4,5,11.9,0.565
2018-05-19 00:00:00,44.7,84,40.2,5.04,8.09,7,9,12.3,0.5591
2018-05-19 01:00:00,45.4,82,40.2,4.8,8.49,1,8,8.9,0.5532
2018-05-19 02:00:00,46.2,72,37.8,6.15,9.98,7,11,10.9,0.5473
2018-05-19 03:00:00,46.3,64,35,7.09,11.12,9,11,12.2,0.5414
2018-05-19 04:00:00,44.1,67,34,6.77,11.2,8,11,12.4,0.5355
2018-05-19 05:00:00,42.6,71,33.9,6.86,11.38,8,10,11.9,0.5504
2018-05-19 06:00:00,41.5,79,35.5,7.24,11.95,6,9,12.5,0.5861
2018-05-19 07:00:00,43.6,76,36.4,7.47,11.05,8,9,13.1,0.6218
2018-05-19 08:00:00,46.4,68,36.2,8.22,11.47,13,15,14.7,0.6575
2018-05-19 09:00:00,49.8,58,35.6,8.32,11.46,20,21,15.3,0.6932
2018-05-19 10:00:00,53.2,48,34.3,8.46,11.54,24,26,15.6,0.7289
2018-05-19 11:00:00,55.9,41,32.7,8.99,12.22,29,29,16.5,0.7646
2018-05-19 12:00:00,57.7,36,30.6,9.58,12.99,29,30,17.6,0.7656
2018-05-19 13:00:00,58.9,32,29.2,9.3,12.76,32,32,17.6,0.7319
2018-05-19 14:00:00,60,31,29.5,8.38,11.3,36,36,17.1,0.6981
2018-05-19 15:00:00,60.3,32,30.2,7.64,10.34,37,38,15.4,0.6644
2018-05-19 16:00:00,60.4,33,31.5,6.92,9.4,37,38,14.1,0.6306
2018-05-19 17:00:00,59.9,35,32.1,6.16,8.44,36,36,12.7,0.5969
2018-05-19 18:00:00,57.3,43,35.2,5.77,8.55,28,29,11.2,0.5557
2018-05-19 19:00:00,55.4,49,36.4,4.49,7.75,21,24,10.1,0.507
2018-05-19 20:00:00,51.8,54,35.5,3.4,7.37,14,21,7.7,0.4584
2018-05-19 21:00:00,50.2,56,35.2,3.73,8.13,8,19,6.2,0.4098
2018-05-19 22:00:00,48.8,58,34.6,3.67,8.17,11,22,6.2,0.3611
2018-05-19 23:00:00,47.8,58,33.9,3.61,8.19,14,25,6.2,0.3125
2018-05-20 00:00:00,46,62,33.6,3.01,7.6,21,33,6,0.2639
2018-05-20 01:00:00,43.6,68,33.8,2.33,6.51,31,45,5,0.2152
2018-05-20 02:00:00,42.2,72,33.9,2.69,6.23,42,60,3.7,0.1666
2018-05-20 03:00:00,40.1,78,33.8,3.55,5.39,40,68,4.2,0.118
2018-05-20 04:00:00,43.5,67,33.2,2.69,4.28,48,79,4.2,0.0693
2018-05-20 05:00:00,47.3,56,32.5,2.25,3.61,111,109,3.2,0.0425
2018-05-20 06:00:00,45.1,67,35,1.72,2.96,54,102,2.6,0.0375
2018-05-20 07:00:00,48.8,60,35.7,0.67,1.84,27,103,2.2,0.0325
2018-05-20 08:00:00,52.5,52,35.6,1.04,1.39,107,111,3.4,0.0275
2018-05-20 09:00:00,55.5,47,35.3,1.92,2.34,129,130,5.1,0.0225
2018-05-20 10:00:00,57.5,44,35.7,2.02,2.44,110,109,5.6,0.0175
2018-05-20 11:00:00,59.3,41,35.9,2.71,3.31,94,95,6.6,0.0125
2018-05-20 12:00:00,61,39,35.9,3.41,4.2,93,93,7.7,0.0146
2018-05-20 13:00:00,62.7,36,35.4,4,5,91,91,8.6,0.0238
2018-05-20 14:00:00,63.9,34,35.1,4.18,5.32,101,102,8.8,0.0329
2018-05-20 15:00:00,64,34,35.2,3.96,5.03,111,111,8.8,0.0421
2018-05-20 16:00:00,64.1,34,35.4,3.38,4.33,109,109,8.2,0.0513
2018-05-20 17:00:00,63.9,35,35.9,3.24,4.26,99,99,7,0.0604
2018-05-20 18:00:00,62.7,41,38.5,2.2,4.31,90,94,6.4,0.0635
2018-05-20 19:00:00,59.5,52,41.9,1.9,4.63,93,96,4.2,0.0606
2018-05-20 20:00:00,52.9,55,37,3.2,5.42,92,95,3.9,0.0576
2018-05-20 21:00:00,51.5,51,34,3.1,6.09,105,104,4.2,0.0547
2018-05-20 22:00:00,51,50,33,2.82,6.93,117,117,4.1,0.0517
2018-05-20 23:00:00,49.6,52,32.8,2.56,6.58,141,133,4,0.0488
2018-05-21 00:00:00,46.4,61,33.7,3.67,5.56,154,142,4.3,0.0458
2018-05-21 01:00:00,45.6,61,33.1,3.86,5.52,143,138,4.5,0.0428
2018-05-21 02:00:00,45.1,62,33.1,3.75,5.23,136,135,4.6,0.0399
2018-05-21 03:00:00,45.2,63,33.5,3.54,5.03,137,139,4.3,0.0369
2018-05-21 04:00:00,45.4,64,33.9,3.32,4.95,136,137,4.1,0.034
2018-05-21 05:00:00,44.6,66,33.8,3.33,4.67,131,135,4.1,0.0409
2018-05-21 06:00:00,50.2,70,40.6,1.71,5.04,173,173,3.9,0.0577
2018-05-21 07:00:00,53.3,69,43.3,1.91,3.76,137,155,3.3,0.0745
2018-05-21 08:00:00,57.3,65,45.8,1.7,2.42,118,128,4.2,0.0912
2018-05-21 09:00:00,60.3,64,47.8,2.69,3.47,121,123,6,0.108
2018-05-21 10:00:00,62.8,63,49.8,4.12,5.33,129,130,8.5,0.1248
2018-05-21 11:00:00,65.8,59,50.9,4.62,5.9,141,141,9.7,0.1416
2018-05-21 12:00:00,67,56,50.6,3.72,4.72,144,144,9.5,0.1392
2018-05-21 13:00:00,66,59,51.1,3.13,4.02,153,153,7.9,0.1175
2018-05-21 14:00:00,66.3,59,51.7,3.11,4.05,147,147,6.4,0.0958
2018-05-21 15:00:00,66.7,60,52.2,3.45,4.43,163,162,7.2,0.0742
2018-05-21 16:00:00,66.6,59,51.9,2.35,2.96,192,192,6.9,0.0525
2018-05-21 17:00:00,66.9,59,52,3.01,3.81,184,185,5.6,0.0308
2018-05-21 18:00:00,66.7,57,51.2,3.04,5.1,163,164,6.4,0.0326
2018-05-21 19:00:00,64.2,70,54.1,1.39,3.55,150,148,5.4,0.0578
2018-05-21 20:00:00,58.4,76,51,2.67,4.49,167,159,3.4,0.0831
2018-05-21 21:00:00,59.6,74,51.4,3.26,7.18,169,164,5.1,0.1083
2018-05-21 22:00:00,58.4,78,51.5,3.03,6.82,172,169,5.5,0.1335
2018-05-21 23:00:00,55,86,51,2.3,5.89,178,170,4.9,0.1587
2018-05-22 00:00:00,53.9,88,50.4,2.9,6.82,180,176,4.7,0.184
2018-05-22 01:00:00,53.2,88,49.9,2.84,6.83,190,185,4.7,0.2092
2018-05-22 02:00:00,53.1,89,49.8,3.01,7.17,195,188,5,0.2344
2018-05-22 03:00:00,52.8,88,49.5,2.97,7.32,200,190,4.9,0.2597
2018-05-22 04:00:00,52.1,89,48.9,2.68,6.79,207,194,4.9,0.2849
2018-05-22 05:00:00,51.5,89,48.3,2.56,6.56,201,188,4.4,0.2868
2018-05-22 06:00:00,53.6,91,51,2.82,6.62,174,176,4.3,0.2654
2018-05-22 07:00:00,57.5,87,53.7,3.54,6.4,164,170,6.3,0.2439
2018-05-22 08:00:00,60.8,83,55.5,3.64,5.04,164,166,7.2,0.2225
2018-05-22 09:00:00,64.1,77,56.9,3.61,4.81,166,168,7.7,0.2011
2018-05-22 10:00:00,67.5,72,58.1,3.23,4.12,164,166,7.7,0.1796
2018-05-22 11:00:00,70.4,68,59.2,2.91,3.49,153,156,7.4,0.1582
2018-05-22 12:00:00,72.9,64,59.9,2.8,3.41,145,148,7,0.1419
2018-05-22 13:00:00,74.6,58,58.6,3.01,3.72,174,174,7,0.1306
2018-05-22 14:00:00,74.7,56,57.8,2.92,3.71,174,175,7,0.1194
2018-05-22 15:00:00,74.7,54,57.1,2.61,3.36,148,150,6.5,0.1081
2018-05-22 16:00:00,75.4,51,55.8,2.83,3.68,132,135,5.8,0.0969
2018-05-22 17:00:00,75,50,55.2,2.75,3.78,123,127,5.8,0.0856
2018-05-22 18:00:00,73.7,62,59.7,2.02,5.1,110,118,5,0.0857
2018-05-22 19:00:00,72.1,57,56,3.4,7.12,114,119,5.6,0.097
2018-05-22 20:00:00,68.5,59,53.5,3.22,7.54,126,129,5.7,0.1084
2018-05-22 21:00:00,66.8,60,52.3,3.61,8.28,132,133,6,0.1198
2018-05-22 22:00:00,64.8,65,52.7,3.3,7.8,145,144,6,0.1311
2018-05-22 23:00:00,63.8,69,53.4,3.64,8.11,148,150,5.9,0.1425
2018-05-23 00:00:00,62.5,74,54.1,3.58,7.88,153,156,6,0.1539
2018-05-23 01:00:00,61.1,81,55,3.45,7.88,158,160,5.8,0.1652
2018-05-23 02:00:00,59.7,87,55.9,3.04,7.38,153,155,5.6,0.1766
2018-05-23 03:00:00,59,90,56.2,3.36,7.6,143,147,5.5,0.188
2018-05-23 04:00:00,58.6,93,56.4,3.75,7.86,134,139,6,0.1993
2018-05-23 05:00:00,58.1,94,56.5,3.11,7.1,138,145,6.3,0.2136
2018-05-23 06:00:00,57.8,93,55.7,2.86,6.15,78,97,5.1,0.2307
2018-05-23 07:00:00,60.2,89,56.8,4.31,7.4,86,88,7.4,0.2479
2018-05-23 08:00:00,62.8,85,58.1,5.02,7.29,121,123,9,0.265
2018-05-23 09:00:00,64.5,82,58.7,5.02,7,134,137,10.1,0.2821
2018-05-23 10:00:00,68.6,74,60,5.46,7.35,145,146,10.7,0.2993
2018-05-23 11:00:00,72.6,66,60.6,5.12,6.84,141,142,10.3,0.3164
2018-05-23 12:00:00,75.8,62,62,6.32,8.51,145,146,12.3,0.3523
2018-05-23 13:00:00,78.1,60,62.9,6.05,8.02,146,147,14.9,0.407
2018-05-23 14:00:00,79,57,62.2,6.85,9.35,151,151,12.6,0.4617
2018-05-23 15:00:00,76.8,66,64.6,5.76,7.62,160,161,14.5,0.5163
2018-05-23 16:00:00,70,85,65.1,4.33,6.18,146,151,12.3,0.571
2018-05-23 17:00:00,71.5,82,65.6,3.47,4.86,136,143,8.3,0.6257
2018-05-23 18:00:00,74.3,62,60.3,2.06,5.22,141,144,9.1,0.6349
2018-05-23 19:00:00,72.2,64,59.2,4.66,8.63,157,162,8.2,0.5987
2018-05-23 20:00:00,68.4,79,61.4,3.3,6.98,145,153,7.6,0.5625
2018-05-23 21:00:00,66.2,87,62.2,4.28,8.42,127,133,6.9,0.5264
2018-05-23 22:00:00,65.3,91,62.5,4.47,8.87,140,140,7.5,0.4902
2018-05-23 23:00:00,64.9,91,62.2,4.29,8.85,152,153,7.4,0.454
2018-05-24 00:00:00,65.4,90,62.3,5.24,10.26,167,170,8.7,0.4178
2018-05-24 01:00:00,65.5,88,61.9,4.94,10.03,173,175,8.7,0.3816
2018-05-24 02:00:00,65.5,88,62,5.6,10.7,178,179,9.2,0.3455
2018-05-24 03:00:00,66.4,85,61.7,7.34,12.7,200,202,12.4,0.3093
2018-05-24 04:00:00,64.5,88,60.9,4.32,8.66,193,199,12.5,0.2731
2018-05-24 05:00:00,63.1,93,61,4.8,9.11,182,183,7.4,0.2611
2018-05-24 06:00:00,65.4,74,56.8,5.88,10.98,215,218,9.1,0.2732
2018-05-24 07:00:00,66.9,71,57.1,5.88,10.32,238,236,10.4,0.2854
2018-05-24 08:00:00,68.2,72,58.7,3.91,6.44,220,228,9.9,0.2975
2018-05-24 09:00:00,71.3,67,59.9,3.74,5,214,217,7.3,0.3096
2018-05-24 10:00:00,74.2,63,60.8,3.77,4.83,212,214,7.7,0.3218
2018-05-24 11:00:00,77.4,59,61.8,3.89,5,198,200,8,0.3339
2018-05-24 12:00:00,79.8,53,61.3,3.83,4.77,187,190,8.3,0.3567
2018-05-24 13:00:00,81.7,49,60.7,4.92,6.33,185,185,9.2,0.39
2018-05-24 14:00:00,82.7,43,57.8,6.15,8.3,202,202,12.1,0.4233
2018-05-24 15:00:00,82.5,37,53.9,5.92,8.27,210,212,12.4,0.4567
2018-05-24 16:00:00,81.4,39,54,6.52,9.74,234,234,11.8,0.49
2018-05-24 17:00:00,79.9,44,56,5.83,9.04,239,241,11.4,0.5233
2018-05-24 18:00:00,78.3,50,57.8,3.3,6.82,256,259,10,0.5382
2018-05-24 19:00:00,74.8,54,57,3.38,7.14,251,259,5.9,0.5345
2018-05-24 20:00:00,70,57,54,3.07,7.08,251,257,5.7,0.5309
2018-05-24 21:00:00,67.3,63,54.1,3.67,7.92,241,242,5.8,0.5273
2018-05-24 22:00:00,66.7,63,53.8,3.98,8.25,245,256,7.2,0.5236
2018-05-24 23:00:00,64.9,65,53,3.81,8.16,256,263,6.6,0.52
2018-05-25 00:00:00,63.8,66,52.3,3.79,7.92,258,266,6.4,0.5164
2018-05-25 01:00:00,62.2,68,51.4,3.89,7.72,252,266,6.4,0.5127
2018-05-25 02:00:00,61.3,69,50.9,3.72,7.5,246,257,6.4,0.5091
2018-05-25 03:00:00,61.5,67,50.5,4.07,8.63,245,252,6.7,0.5055
2018-05-25 04:00:00,62,66,50.5,4.18,8.82,249,252,7,0.5018
2018-05-25 05:00:00,61.2,68,50.6,4.27,8.98,249,253,7.1,0.4839
2018-05-25 06:00:00,63.1,70,53.2,4.1,8.78,257,262,7.8,0.4518
2018-05-25 07:00:00,67.5,64,55,4.95,8.61,262,267,8.1,0.4197
2018-05-25 08:00:00,71.2,59,56.3,4.6,7.2,268,272,8.3,0.3876
2018-05-25 09:00:00,74.4,56,57.7,4.01,5.43,274,276,8.3,0.3555
2018-05-25 10:00:00,77.4,52,58.2,3.5,4.6,270,272,7.8,0.3234
2018-05-25 11:00:00,79.5,47,57.3,4,5.2,270,271,8,0.2913
2018-05-25 12:00:00,81,43,56.2,4.9,6.31,271,273,11.4,0.292
2018-05-25 13:00:00,82.2,39,55,5.02,6.65,276,277,11.3,0.3255
2018-05-25 14:00:00,82.9,37,54.1,5.57,7.4,279,279,10.8,0.359
2018-05-25 15:00:00,83.1,34,51.9,5.76,7.91,278,279,11,0.3925
2018-05-25 16:00:00,83.5,34,52.1,5.5,7.71,270,272,11.3,0.426
2018-05-25 17:00:00,81.7,40,54.8,4.83,7.42,283,284,9.7,0.4595
2018-05-25 18:00:00,80.1,45,56.8,3.45,7.62,280,284,8.2,0.463
2018-05-25 19:00:00,77.3,44,53.6,3.79,8.25,288,293,6.7,0.4365
2018-05-25 20:00:00,72.9,45,50.5,3.24,7.76,279,292,6.3,0.4101
2018-05-25 21:00:00,68.7,50,49.6,2.81,6.55,266,289,5.2,0.3836
2018-05-25 22:00:00,66.4,58,51.1,3.57,6.91,252,268,5.7,0.3571
2018-05-25 23:00:00,65.4,56,49.3,3.73,7.79,278,294,6.1,0.3306
2018-05-26 00:00:00,63.6,56,47.8,2.7,5.45,272,314,6.1,0.3041
2018-05-26 01:00:00,62.5,59,47.8,3.1,5.87,268,300,5.1,0.2777
2018-05-26 02:00:00,61.6,61,48,3,5.82,270,294,5.1,0.2512
2018-05-26 03:00:00,61.2,62,48.1,3.4,6.4,268,284,5.5,0.2247
2018-05-26 04:00:00,61.2,62,48,3.4,6.65,268,282,5.8,0.1982
2018-05-26 05:00:00,60.6,64,48.2,3.31,6.32,267,281,5.6,0.1763
2018-05-26 06:00:00,63.6,62,50.4,3.86,8.41,287,295,6.3,0.1588
2018-05-26 07:00:00,67.6,59,53,4.39,7.76,282,292,7.2,0.1412
2018-05-26 08:00:00,72,56,55.2,3.79,6.4,288,295,7.3,0.1238
2018-05-26 09:00:00,75.7,50,55.9,3.42,4.7,291,294,7,0.1063
2018-05-26 10:00:00,78.9,46,56.1,2.77,3.49,296,297,6.9,0.0887
2018-05-26 11:00:00,81.2,41,55.4,2.02,2.47,303,302,6.1,0.0713
2018-05-26 12:00:00,82.9,36,53.5,1.75,2.25,294,291,5.2,0.0739
2018-05-26 13:00:00,83.6,35,53.1,1.5,1.8,270,273,5,0.0967
2018-05-26 14:00:00,84.2,34,53.1,1.26,1.55,252,255,4.6,0.1195
2018-05-26 15:00:00,84.5,35,53.7,1.77,2.18,254,254,4.8,0.1423
2018-05-26 16:00:00,84.4,36,54.3,1.49,1.8,250,251,4.7,0.1651
2018-05-26 17:00:00,83.8,38,55.2,1.39,1.75,240,239,4,0.1879
2018-05-26 18:00:00,82.8,54,64.2,0.85,0.81,159,173,3.4,0.2107
2018-05-26 19:00:00,78.4,60,63.4,1.72,3.44,126,126,2.7,0.2335
2018-05-26 20:00:00,72.1,62,58.5,2.4,4.74,163,145,3.4,0.2563
2018-05-26 21:00:00,70.5,59,55.4,2.85,5.25,162,149,3.8,0.279
2018-05-26 22:00:00,70.8,56,54.3,2.61,5.92,184,168,4.1,0.3018
2018-05-26 23:00:00,78.1,40,52,2.52,3.19,124,139,4.5,0.3246
2018-05-27 00:00:00,68.5,56,52.2,3.23,5.63,106,110,4.4,0.3474
2018-05-27 01:00:00,69,55,52.1,2.92,7.27,96,98,4.2,0.3702
2018-05-27 02:00:00,68.6,56,52.4,2.78,7.22,150,132,4.8,0.393
2018-05-27 03:00:00,68.6,56,52.2,3.38,7.79,146,138,5.4,0.4158
2018-05-27 04:00:00,63.2,70,53.3,2.33,4.44,59,121,5.5,0.4386
2018-05-27 05:00:00,62.4,91,59.6,6.52,11.34,49,57,13.6,0.4536
2018-05-27 06:00:00,63.2,92,61,5.44,10.39,110,114,11.2,0.4607
2018-05-27 07:00:00,64.4,92,61.9,5.84,9.04,7,10,10.3,0.4679
2018-05-27 08:00:00,65.1,93,63.1,5.08,8.36,58,64,9.9,0.475
2018-05-27 09:00:00,68.7,86,64.3,5.3,7.51,91,92,9.6,0.4821
2018-05-27 10:00:00,74.5,70,64,6.54,8.87,119,120,12.2,0.4893
2018-05-27 11:00:00,78.7,57,62.4,7.1,9.63,145,145,13.1,0.4964
2018-05-27 12:00:00,82.4,50,62.2,6.1,8.25,162,161,13.5,0.505
2018-05-27 13:00:00,84.2,49,62.9,2.58,3.2,234,231,11.2,0.515
2018-05-27 14:00:00,84.4,50,63.8,3.31,3.99,295,292,7.1,0.525
2018-05-27 15:00:00,84.6,51,64.3,2.7,3.2,321,321,7.2,0.535
2018-05-27 16:00:00,83.3,54,64.7,4.22,5.42,5,5,7.5,0.545
2018-05-27 17:00:00,80.2,61,65.5,6.26,8.57,8,7,11.5,0.555
2018-05-27 18:00:00,76.8,66,64.7,7.3,10.84,13,14,11.2,0.545
2018-05-27 19:00:00,74.7,66,62.7,7.56,11.62,20,22,12.9,0.515
2018-05-27 20:00:00,71.9,69,61.1,6.22,10.42,26,27,13,0.485
2018-05-27 21:00:00,70,73,60.9,5.54,9.77,17,20,10.5,0.455
2018-05-27 22:00:00,69.2,73,60.1,5.66,9.88,17,21,9.6,0.425
2018-05-27 23:00:00,68.2,73,59.4,5.41,9.64,28,31,9.8,0.395
2018-05-28 00:00:00,66.2,80,59.7,2.81,6.12,94,85,9.3,0.365
2018-05-28 01:00:00,64.8,87,60.8,3.1,4.83,360,34,4.6,0.335
2018-05-28 02:00:00,63.9,91,61.3,1.92,5.3,28,32,6.8,0.305
2018-05-28 03:00:00,64.1,89,60.7,4.59,8.6,11,18,7.4,0.275
2018-05-28 04:00:00,63.9,89,60.4,2.72,6.21,6,15,7.7,0.245
2018-05-28 05:00:00,61.7,93,59.7,1.7,3.69,87,57,4.3,0.2221
2018-05-28 06:00:00,63.5,86,59.3,4.09,8.55,22,29,5.1,0.2064
2018-05-28 07:00:00,67,78,60,5.06,8.55,25,29,8.7,0.1907
2018-05-28 08:00:00,69.4,73,60.4,4.65,6.6,28,32,8.9,0.175
2018-05-28 09:00:00,71.3,67,59.9,5.04,6.81,39,40,9.4,0.1593
2018-05-28 10:00:00,72.9,64,59.8,4.24,5.74,47,49,9.5,0.1436
2018-05-28 11:00:00,73.3,62,59.7,5.15,7.07,61,61,8.7,0.1279
2018-05-28 12:00:00,76.1,57,59.8,6.35,8.63,64,65,11.7,0.1282
2018-05-28 13:00:00,77.5,55,60.3,6.5,8.84,67,68,12,0.1445
2018-05-28 14:00:00,77,59,61.3,5.6,7.86,74,75,12,0.1608
2018-05-28 15:00:00,78.8,59,63.1,5.04,7.14,76,79,9.9,0.1772
2018-05-28 16:00:00,78.5,61,63.9,4.96,6.79,99,99,10,0.1935
2018-05-28 17:00:00,76.2,68,64.9,3.77,6.18,112,113,9.1,0.2098
2018-05-28 18:00:00,74.6,67,63.1,4.93,8.54,96,95,8,0.2108
2018-05-28 19:00:00,74.7,65,62.2,4.4,7.7,89,90,9.3,0.1965
2018-05-28 20:00:00,71.8,68,60.8,4.4,8.5,90,90,7.6,0.1821
2018-05-28 21:00:00,70.1,71,60.1,4.3,8.7,90,89,7.3,0.1677
2018-05-28 22:00:00,68.6,73,59.5,4.3,8.91,93,93,7.1,0.1534
2018-05-28 23:00:00,67.4,75,59.1,3.6,7.7,90,91,7.2,0.139
2018-05-29 00:00:00,65.9,78,59,3.24,7.06,99,102,6.4,0.1246
2018-05-29 01:00:00,63.5,85,58.9,2.01,5.55,117,113,5.3,0.1103
2018-05-29 02:00:00,61.9,89,58.6,2.02,4.91,123,123,3.1,0.0959
2018-05-29 03:00:00,61.9,90,58.8,2,5.52,127,138,3.1,0.0815
2018-05-29 04:00:00,61.5,90,58.6,2.06,5.73,166,164,3.3,0.0672
2018-05-29 05:00:00,61.8,90,58.9,2.47,6.14,166,161,4,0.0659
2018-05-29 06:00:00,64.8,81,58.8,2.77,6.75,167,173,4.5,0.0777
2018-05-29 07:00:00,68.5,75,60.3,1.43,2.86,115,155,4.4,0.0895
2018-05-29 08:00:00,71.2,70,61,3.96,6.01,135,137,6.8,0.1013
2018-05-29 09:00:00,70.3,72,60.6,4.36,6.8,127,131,7.6,0.113
2018-05-29 10:00:00,71.8,67,60.2,5.85,8.73,160,162,9.9,0.1248
2018-05-29 11:00:00,74,61,59.5,5.66,7.76,172,173,11.4,0.1366
2018-05-29 12:00:00,75.1,58,59.1,5.46,7.67,172,173,10.5,0.1671
2018-05-29 13:00:00,78.1,50,58.1,8.2,11.31,171,172,15.4,0.2162
2018-05-29 14:00:00,78.5,48,57.3,7.34,10.16,186,186,15.7,0.2654
2018-05-29 15:00:00,77.4,51,57.8,6.28,8.58,202,201,13.2,0.3146
2018-05-29 16:00:00,77,50,56.9,6.5,9,194,195,13.9,0.3638
2018-05-29 17:00:00,76,50,56.3,6.41,9.1,203,203,13.2,0.4129
2018-05-29 18:00:00,76.6,55,59.1,3.98,7.26,219,218,11.3,0.4212
2018-05-29 19:00:00,74.8,57,58.6,2.98,6.18,220,219,7.2,0.3888
2018-05-29 20:00:00,69.2,69,58.5,2.24,5.69,207,204,5,0.3562
2018-05-29 21:00:00,69.7,62,56.3,3.61,7.88,194,195,6,0.3238
2018-05-29 22:00:00,67.9,65,55.9,2.51,6.3,175,180,6,0.2912
2018-05-29 23:00:00,67.7,65,55.7,3.47,7.36,168,173,5.6,0.2588
2018-05-30 00:00:00,66.9,69,56.3,4.05,8.04,164,169,6.6,0.2262
2018-05-30 01:00:00,65.6,73,56.8,3.76,7.42,163,166,7.1,0.1938
2018-05-30 02:00:00,64.3,79,57.7,3.71,7.5,177,178,6.2,0.1612
2018-05-30 03:00:00,63.3,85,58.6,3.69,6.96,167,173,8.6,0.1288
2018-05-30 04:00:00,61.3,92,58.9,2.57,5.71,167,169,6.1,0.0963
2018-05-30 05:00:00,60.2,95,58.6,2.5,5.8,180,179,4.6,0.0768
2018-05-30 06:00:00,60.7,93,58.6,2.84,5.61,231,211,4.6,0.0704
2018-05-30 07:00:00,64.3,86,60,1.44,2.97,236,222,5.2,0.0639
2018-05-30 08:00:00,65.9,84,60.9,1.21,1.48,336,332,4.5,0.0575
2018-05-30 09:00:00,66.4,81,60.3,1.27,1.56,135,140,4,0.0511
2018-05-30 10:00:00,67.4,79,60.7,0.81,0.91,97,96,4.2,0.0446
2018-05-30 11:00:00,70.4,71,60.4,3.04,3.85,117,118,6.7,0.0382
2018-05-30 12:00:00,72.3,66,60.5,3.24,4.1,146,146,7.1,0.0654
2018-05-30 13:00:00,74.4,62,60.4,2.94,3.55,190,190,7.5,0.1263
2018-05-30 14:00:00,75.3,59,59.8,2.47,3.01,194,195,7,0.1872
2018-05-30 15:00:00,76.5,54,58.5,1.62,1.97,202,204,6.1,0.2481
2018-05-30 16:00:00,73.2,58,57.6,4.79,6.2,293,291,8.1,0.3089
2018-05-30 17:00:00,70.3,75,61.8,3.49,4.92,294,294,9.2,0.3698
2018-05-30 18:00:00,71.9,69,61.3,2.65,4.2,349,348,6.7,0.3872
2018-05-30 19:00:00,70.5,76,62.4,1.94,3.11,35,33,5.3,0.361
2018-05-30 20:00:00,66.2,87,62.3,1.79,4.03,27,30,3.2,0.3349
2018-05-30 21:00:00,64.4,90,61.5,2.22,5.36,8,14,3.7,0.3087
2018-05-30 22:00:00,63.1,91,60.5,2.02,4.81,340,356,3.7,0.2825
2018-05-30 23:00:00,62.2,92,59.7,2.33,4.78,317,340,3.9,0.2564
2018-05-31 00:00:00,61,93,58.8,2.05,4.33,313,341,3.9,0.2302
2018-05-31 01:00:00,60.3,93,58.4,2.16,4.29,304,332,3.5,0.2041
2018-05-31 02:00:00,59.6,94,57.8,2.41,5.33,318,337,3.8,0.1779
2018-05-31 03:00:00,58.7,93,56.7,2.33,5.34,329,347,3.9,0.1517
2018-05-31 04:00:00,57.4,94,55.6,1.98,4.66,319,345,3.8,0.1256
2018-05-31 05:00:00,56.4,95,55,1.78,4.03,308,337,3.2,0.1089
2018-05-31 06:00:00,58,98,57.5,2.97,5.57,327,339,3.6,0.1018
2018-05-31 07:00:00,60.7,92,58.3,3.07,3.96,341,344,6.1,0.0947
2018-05-31 08:00:00,64,84,59,3.16,3.96,349,350,6.8,0.0876
2018-05-31 09:00:00,66.7,78,59.6,2.31,2.92,355,354,6.6,0.0805
2018-05-31 10:00:00,69.4,72,60.1,2.51,3.11,5,4,6.3,0.0734
2018-05-31 11:00:00,72,66,60.1,2.72,3.42,17,15,6.8,0.0663
2018-05-31 12:00:00,73.6,63,60,2.68,3.31,27,25,7,0.0591
2018-05-31 13:00:00,75.4,58,59.5,2.19,2.62,43,43,6.8,0.052
2018-05-31 14:00:00,76.6,55,59,1.84,2.18,77,74,6,0.0449
2018-05-31 15:00:00,77.5,52,58.6,2.12,2.63,82,81,5.6,0.0378
2018-05-31 16:00:00,78,51,58.4,2.71,3.31,94,93,6,0.0307
2018-05-31 17:00:00,78,52,58.7,3.04,3.83,107,105,6.2,0.0236
2018-05-31 18:00:00,77.1,54,59.2,3.65,6.02,99,101,6.1,0.0198
